LMC 05h23m34.6s -69d45m22s  323  0.20 0.05 SFD_98
SMC 00h52m38.0s -72d48m01s 190 0.10 0.05 SFD_98
M31 00h42m44.5s +41d16m09s 95 0.17 0.05 SFD_98
M82 9h55m52.43s 69d40m46.93s 20 0.167 0.05 Dalcanton_etal_2009
Arp244 12h01m53.17s -18d52m37.92s 15 0.112 0.007 Brown_Walker_2020
ESO138-G10 16h59m02.952s -60d12m57.67s 12 0.574 0.023 Brown_Walker_2020
ESO287-G40 21h37m28.1842s -47d02m08.8331s 7 0.067 0.004 Brown_Walker_2020
ESO317-32 10h28m01.6186s -42d06m38.7541s 12 0.329 0.014 Brown_Walker_2020
ESO509-IG064 13h34m39.3s -23d40m50s 15 0.292 0.026 Brown_Walker_2020
IC208 2h08m27.736s 6d23m41.53s 12 0.135 0.004 Brown_Walker_2020
IC2574 10h28m23.6205s 68d24m43.4414s 15 0.094 0.010 Brown_Walker_2020
IC5249 22h47m06.262s -64d49m55.42s 15 0.087 0.004 Brown_Walker_2020
KUG0647+311 6h50m36.832s 31d07m00.6s 15 0.334 0.027 Brown_Walker_2020
M51 13h29m52.698s 47d11m42.93s 15 0.076 0.013 Brown_Walker_2020
M61 12h21m54.9275s 4d28m25.5883s 15 0.051 0.003 Brown_Walker_2020
M66 11h20m15.026s 12d59m28.64s 15 0.07 0.008 Brown_Walker_2020
M74 1h36m41.772s 15d47m00.46s 15 0.171 0.010 Brown_Walker_2020
M82 9h55m52.43s 69d40m46.93s 20 0.224 0.092 Brown_Walker_2020
M83 13h37m00.919s -29d51m56.74s 15 0.127 0.011 Brown_Walker_2020
M106 12h18m57.5046s +47d18m14.303 35 0.045 0.010 Brown_Walker_2020
MCG-01-07-004 2h23m13.2516s -4d31m01.5168s 7 0.071 0.002 Brown_Walker_2020
MCG-02-24-027 9h28m59.256s -14d48m27.25s 7 0.172 0.004 Brown_Walker_2020
MCG-02-30-003 11h33m10.5799s -10d13m43.7361s 10 0.095 0.003 Brown_Walker_2020
MCG+10-19-1 12h54m49.706s 58d52m56.46s 7 0.028 0.003 Brown_Walker_2020
NGC0088 00h21m22.12s -48d38m24.6s 25 0.046 0.005 Brown_Walker_2020
NGC0584 1h31m20.755s -6d52m05.02s 15 0.102 0.006 Brown_Walker_2020
NGC1097 2h46m19.059s -30d16m29.68s 15 0.054 0.003 Brown_Walker_2020
NGC1313 3h18m16.046s -66d29m53.74s 20 0.222 0.063 Brown_Walker_2020
NGC134 0h30m21.893s -33d14m43.26s 20 0.03 0.004 Brown_Walker_2020
NGC1365 3h33m36.458s -36d08m26.37s 20 0.034 0.004 Brown_Walker_2020
NGC1371 3h35m01.351s -24d55m59.19s 10 0.054 0.006 Brown_Walker_2020
NGC1448 3h44m31.915s -44d38m41.38s 10 0.037 0.003 Brown_Walker_2020
NGC2315 7h02m33.038s 50d35m26.18s 7 0.215 0.008 Brown_Walker_2020
NGC2357 7h17m40.981s 23d21m24.28s 10 0.164 0.014 Brown_Walker_2020
NGC2577 8h22m43.45s 22d33m11.1408s 10 0.124 0.008 Brown_Walker_2020
NGC2615 8h34m33.358s -2d32m48.57s 10 0.077 0.004 Brown_Walker_2020
NGC2668 8h49m22.57s 36d42m37.53s 10 0.088 0.003 Brown_Walker_2020
NGC2748 9h13m43.037s 76d28m31.23s 5 0.071 0.005 Brown_Walker_2020
NGC2811 9h16m11.1s -16d18m45.78s 12 0.123 0.005 Brown_Walker_2020
NGC3034 9h55m52.43s 69d40m46.93s 15 0.31 0.090 Brown_Walker_2020
NGC3521 11h05m48.5676s -0d02m09.2282s 15 0.121 0.018 Brown_Walker_2020
NGC3556 11h11m30.967s 55d40m26.84s 20 0.029 0.008 Brown_Walker_2020
NGC3627 11h20m15.026s 12d59m28.64s 15 0.07 0.008 Brown_Walker_2020
